year,month,day,dow,births
1994,1,1,Saturday,8096
1994,1,2,Sunday,7772
1994,1,3,Monday,10142
1994,1,4,Tuesday,11248
1994,1,5,Wednesday,11053
1994,1,6,Thursday,11406
1994,1,7,Friday,11251
1994,1,8,Saturday,8653
1994,1,9,Sunday,7910
1994,1,10,Monday,10498
1994,1,11,Tuesday,11706
1994,1,12,Wednesday,11567
1994,1,13,Thursday,11212
1994,1,14,Friday,11570
1994,1,15,Saturday,8660
1994,1,16,Sunday,8123
1994,1,17,Monday,10567
1994,1,18,Tuesday,11541
1994,1,19,Wednesday,11257
1994,1,20,Thursday,11682
1994,1,21,Friday,11811
1994,1,22,Saturday,8833
1994,1,23,Sunday,8310
1994,1,24,Monday,11125
1994,1,25,Tuesday,11981
1994,1,26,Wednesday,11514
1994,1,27,Thursday,11702
1994,1,28,Friday,11666
1994,1,29,Saturday,8988
1994,1,30,Sunday,8096
1994,1,31,Monday,10765
1994,2,1,Tuesday,11755
1994,2,2,Wednesday,11483
1994,2,3,Thursday,11523
1994,2,4,Friday,11677
1994,2,5,Saturday,8991
1994,2,6,Sunday,8309
1994,2,7,Monday,10984
1994,2,8,Tuesday,12152
1994,2,9,Wednesday,11515
1994,2,10,Thursday,11623
1994,2,11,Friday,11517
1994,2,12,Saturday,8945
1994,2,13,Sunday,8171
1994,2,14,Monday,11551
1994,2,15,Tuesday,12164
1994,2,16,Wednesday,12009
1994,2,17,Thursday,11674
1994,2,18,Friday,11887
1994,2,19,Saturday,8946
1994,2,20,Sunday,8402
1994,2,21,Monday,10617
1994,2,22,Tuesday,11810
1994,2,23,Wednesday,11776
1994,2,24,Thursday,11667
1994,2,25,Friday,11905
1994,2,26,Saturday,8988
1994,2,27,Sunday,8195
1994,2,28,Monday,11091
1994,3,1,Tuesday,12127
1994,3,2,Wednesday,11735
1994,3,3,Thursday,11984
1994,3,4,Friday,12066
1994,3,5,Saturday,9215
1994,3,6,Sunday,8389
1994,3,7,Monday,10996
1994,3,8,Tuesday,12275
1994,3,9,Wednesday,11780
1994,3,10,Thursday,11792
1994,3,11,Friday,11939
1994,3,12,Saturday,9087
1994,3,13,Sunday,8248
1994,3,14,Monday,11092
1994,3,15,Tuesday,12298
1994,3,16,Wednesday,11865
1994,3,17,Thursday,11976
1994,3,18,Friday,11799
1994,3,19,Saturday,8944
1994,3,20,Sunday,8243
1994,3,21,Monday,11140
1994,3,22,Tuesday,11964
1994,3,23,Wednesday,11637
1994,3,24,Thursday,11904
1994,3,25,Friday,11568
1994,3,26,Saturday,8957
1994,3,27,Sunday,8189
1994,3,28,Monday,11051
1994,3,29,Tuesday,12154
1994,3,30,Wednesday,11540
1994,3,31,Thursday,11782
1994,4,1,Friday,10630
1994,4,2,Saturday,8782
1994,4,3,Sunday,7530
1994,4,4,Monday,10909
1994,4,5,Tuesday,11876
1994,4,6,Wednesday,11811
1994,4,7,Thursday,11718
1994,4,8,Friday,11532
1994,4,9,Saturday,8791
1994,4,10,Sunday,8183
1994,4,11,Monday,11060
1994,4,12,Tuesday,12146
1994,4,13,Wednesday,11428
1994,4,14,Thursday,11709
1994,4,15,Friday,11753
1994,4,16,Saturday,8790
1994,4,17,Sunday,7867
1994,4,18,Monday,11094
1994,4,19,Tuesday,11966
1994,4,20,Wednesday,11585
1994,4,21,Thursday,11509
1994,4,22,Friday,11553
1994,4,23,Saturday,8613
1994,4,24,Sunday,8089
1994,4,25,Monday,10909
1994,4,26,Tuesday,12236
1994,4,27,Wednesday,11701
1994,4,28,Thursday,11527
1994,4,29,Friday,11474
1994,4,30,Saturday,8621
1994,5,1,Sunday,8145
1994,5,2,Monday,11169
1994,5,3,Tuesday,12023
1994,5,4,Wednesday,11754
1994,5,5,Thursday,11958
1994,5,6,Friday,11904
1994,5,7,Saturday,8641
1994,5,8,Sunday,8203
1994,5,9,Monday,10914
1994,5,10,Tuesday,11771
1994,5,11,Wednesday,11278
1994,5,12,Thursday,11822
1994,5,13,Friday,11085
1994,5,14,Saturday,8830
1994,5,15,Sunday,8253
1994,5,16,Monday,11103
1994,5,17,Tuesday,12289
1994,5,18,Wednesday,11668
1994,5,19,Thursday,11411
1994,5,20,Friday,11645
1994,5,21,Saturday,8830
1994,5,22,Sunday,8449
1994,5,23,Monday,11434
1994,5,24,Tuesday,12562
1994,5,25,Wednesday,12005
1994,5,26,Thursday,11979
1994,5,27,Friday,12132
1994,5,28,Saturday,8840
1994,5,29,Sunday,8205
1994,5,30,Monday,8468
1994,5,31,Tuesday,11525
1994,6,1,Wednesday,12349
1994,6,2,Thursday,12166
1994,6,3,Friday,11799
1994,6,4,Saturday,9182
1994,6,5,Sunday,8289
1994,6,6,Monday,11130
1994,6,7,Tuesday,12145
1994,6,8,Wednesday,11784
1994,6,9,Thursday,11648
1994,6,10,Friday,12006
1994,6,11,Saturday,8618
1994,6,12,Sunday,8171
1994,6,13,Monday,10692
1994,6,14,Tuesday,12074
1994,6,15,Wednesday,11954
1994,6,16,Thursday,11852
1994,6,17,Friday,11744
1994,6,18,Saturday,8907
1994,6,19,Sunday,8302
1994,6,20,Monday,11337
1994,6,21,Tuesday,12182
1994,6,22,Wednesday,12213
1994,6,23,Thursday,11939
1994,6,24,Friday,11979
1994,6,25,Saturday,9047
1994,6,26,Sunday,8306
1994,6,27,Monday,11309
1994,6,28,Tuesday,12211
1994,6,29,Wednesday,12245
1994,6,30,Thursday,12157
1994,7,1,Friday,12454
1994,7,2,Saturday,9268
1994,7,3,Sunday,8298
1994,7,4,Monday,8564
1994,7,5,Tuesday,11609
1994,7,6,Wednesday,13086
1994,7,7,Thursday,13049
1994,7,8,Friday,12623
1994,7,9,Saturday,9325
1994,7,10,Sunday,8684
1994,7,11,Monday,11567
1994,7,12,Tuesday,12507
1994,7,13,Wednesday,12134
1994,7,14,Thursday,12485
1994,7,15,Friday,12691
1994,7,16,Saturday,9547
1994,7,17,Sunday,8848
1994,7,18,Monday,11561
1994,7,19,Tuesday,12583
1994,7,20,Wednesday,12378
1994,7,21,Thursday,12447
1994,7,22,Friday,12486
1994,7,23,Saturday,9463
1994,7,24,Sunday,8734
1994,7,25,Monday,11757
1994,7,26,Tuesday,12591
1994,7,27,Wednesday,12423
1994,7,28,Thursday,12539
1994,7,29,Friday,12231
1994,7,30,Saturday,9340
1994,7,31,Sunday,8590
1994,8,1,Monday,11428
1994,8,2,Tuesday,12622
1994,8,3,Wednesday,12147
1994,8,4,Thursday,12601
1994,8,5,Friday,12251
1994,8,6,Saturday,9336
1994,8,7,Sunday,8517
1994,8,8,Monday,11528
1994,8,9,Tuesday,12643
1994,8,10,Wednesday,12525
1994,8,11,Thursday,12147
1994,8,12,Friday,12479
1994,8,13,Saturday,9474
1994,8,14,Sunday,8926
1994,8,15,Monday,11391
1994,8,16,Tuesday,12605
1994,8,17,Wednesday,12344
1994,8,18,Thursday,12313
1994,8,19,Friday,12227
1994,8,20,Saturday,9646
1994,8,21,Sunday,8663
1994,8,22,Monday,11489
1994,8,23,Tuesday,12284
1994,8,24,Wednesday,12176
1994,8,25,Thursday,12076
1994,8,26,Friday,12122
1994,8,27,Saturday,9171
1994,8,28,Sunday,8779
1994,8,29,Monday,11560
1994,8,30,Tuesday,12431
1994,8,31,Wednesday,12272
1994,9,1,Thursday,12183
1994,9,2,Friday,12099
1994,9,3,Saturday,9042
1994,9,4,Sunday,8420
1994,9,5,Monday,8378
1994,9,6,Tuesday,11448
1994,9,7,Wednesday,12660
1994,9,8,Thursday,12693
1994,9,9,Friday,12811
1994,9,10,Saturday,9424
1994,9,11,Sunday,8373
1994,9,12,Monday,11500
1994,9,13,Tuesday,12560
1994,9,14,Wednesday,12566
1994,9,15,Thursday,12655
1994,9,16,Friday,12884
1994,9,17,Saturday,9779
1994,9,18,Sunday,8603
1994,9,19,Monday,11659
1994,9,20,Tuesday,12584
1994,9,21,Wednesday,12468
1994,9,22,Thursday,12590
1994,9,23,Friday,12522
1994,9,24,Saturday,9597
1994,9,25,Sunday,8754
1994,9,26,Monday,11597
1994,9,27,Tuesday,12591
1994,9,28,Wednesday,12405
1994,9,29,Thursday,12288
1994,9,30,Friday,12090
1994,10,1,Saturday,9351
1994,10,2,Sunday,8477
1994,10,3,Monday,11437
1994,10,4,Tuesday,12378
