eclipse,year,month,day
Solar Eclipse,1994,5,10
Lunar Eclipse,1994,5,25
Solar Eclipse,1994,11,3
Lunar Eclipse,1994,11,18
Lunar Eclipse,1995,4,15
Solar Eclipse,1995,4,29
Lunar Eclipse,1995,10,8
Solar Eclipse,1995,10,24
Lunar Eclipse,1996,4,4
Solar Eclipse,1996,4,17
Lunar Eclipse,1996,9,27
Solar Eclipse,1996,10,12
Solar Eclipse,1997,3,9
Lunar Eclipse,1997,3,24
Solar Eclipse,1997,9,2
Lunar Eclipse,1997,9,16
Solar Eclipse,1998,2,26
Lunar Eclipse,1998,3,13
Lunar Eclipse,1998,8,8
Solar Eclipse,1998,8,22
Lunar Eclipse,1998,9,6
Lunar Eclipse,1999,1,31
Solar Eclipse,1999,2,16
Lunar Eclipse,1999,7,28
Solar Eclipse,1999,8,11
Solar Eclipse,2000,2,5
Solar Eclipse,2000,7,1
Solar Eclipse,2000,7,31
Solar Eclipse,2000,12,25
Solar Eclipse,2001,6,21
Solar Eclipse,2001,12,14
Solar Eclipse,2002,6,10
Solar Eclipse,2002,12,4
Solar Eclipse,2003,5,31
Solar Eclipse,2003,11,23
