0,1,2,3,4,5,6
Date and time of Greatest Eclipse Eclipse Moon Sign Saros,Serie Duration Chart,Impact,Chart,,,
"Tue May 10, 1994",at 17:12 Annular,Solar Eclipse,Taurus,19°51’ 128 06m13s eclipse,chart impact,chart
"Wed May 25, 1994",at 03:31 Partial,Lunar Eclipse,Sagittarius,3°37’ 140 eclipse,chart impact,chart
"Thu Nov 3, 1994",at 13:40 Total,Solar Eclipse,Scorpio,10°57’ 133 04m23s eclipse,chart impact,chart
"Fri Nov 18, 1994",at 06:44 Penumbral,Lunar Eclipse,Taurus,25°35’ 145 eclipse,chart impact,chart
"Sat Apr 15, 1995",at 12:19 Partial,Lunar Eclipse,Libra,25°10’ 112 eclipse,chart impact,chart
"Sat Apr 29, 1995",at 17:33 Annular,Solar Eclipse,Taurus,8°54’ 138 06m37s eclipse,chart impact,chart
"Sun Oct 8, 1995",at 16:05 Penumbral,Lunar Eclipse,Aries,15°00’ 117 eclipse,chart impact,chart
"Tue Oct 24, 1995",at 04:33 Total,Solar Eclipse,Scorpio,0°15’ 143 02m10s eclipse,chart impact,chart
"Thu Apr 4, 1996",at 00:10 Total,Lunar Eclipse,Libra,14°32’ 122 eclipse,chart impact,chart
"Wed Apr 17, 1996",at 22:38 Partial,Solar Eclipse,Aries,28°05’ 148 eclipse,chart impact,chart
"Fri Sep 27, 1996",at 02:55 Total,Lunar Eclipse,Aries,4°19’ 127 eclipse,chart impact,chart
"Sat Oct 12, 1996",at 14:03 Partial,Solar Eclipse,Libra,19°25’ 153 eclipse,chart impact,chart
"Sun Mar 9, 1997",at 01:24 Total,Solar Eclipse,Pisces,18°36’ 120 02m50s eclipse,chart impact,chart
"Mon Mar 24, 1997",at 04:40 Partial,Lunar Eclipse,Libra,3°32’ 132 eclipse,chart impact,chart
"Tue Sep 2, 1997",at 00:04 Partial,Solar Eclipse,Virgo,9°39’ 125 eclipse,chart impact,chart
"Tue Sep 16, 1997",at 18:47 Total,Lunar Eclipse,Pisces,23°53’ 137 eclipse,chart impact,chart
"Thu Feb 26, 1998",at 17:29 Total,Solar Eclipse,Pisces,7°56’ 130 04m09s eclipse,chart impact,chart
"Fri Mar 13, 1998",at 04:21 Penumbral,Lunar Eclipse,Virgo,22°17’ 142 eclipse,chart impact,chart
"Sat Aug 8, 1998",at 02:25 Penumbral,Lunar Eclipse,Aquarius,15°30’ 109 eclipse,chart impact,chart
"Sat Aug 22, 1998",at 02:07 Annular,Solar Eclipse,Leo,28°49’ 135 03m14s eclipse,chart impact,chart
"Sun Sep 6, 1998",at 11:11 Penumbral,Lunar Eclipse,Pisces,13°33’ 147 eclipse,chart impact,chart
"Sun Jan 31, 1999",at 16:18 Penumbral,Lunar Eclipse,Leo,11°26’ 114 eclipse,chart impact,chart
"Tue Feb 16, 1999",at 06:34 Annular,Solar Eclipse,Aquarius,27°05’ 140 00m40s eclipse,chart impact,chart
